
Start Time : 27-Apr-2022 12:32:03:70
Cell Death : 27-Apr-2022 12:32:15:56
Cell Death : 27-Apr-2022 12:32:15:57
Cell Death : 27-Apr-2022 12:32:15:58
Cell Death : 27-Apr-2022 12:32:15:60
Cell Death : 27-Apr-2022 12:32:15:61
Cell Death : 27-Apr-2022 12:32:15:61
Cell Birth : 27-Apr-2022 12:32:15:61
Cell Death : 27-Apr-2022 12:32:15:61
Cell Death : 27-Apr-2022 12:32:15:61
Cell Death : 27-Apr-2022 12:32:15:61
Cell Death : 27-Apr-2022 12:32:15:61
Cell Death : 27-Apr-2022 12:32:15:61
Cell Death : 27-Apr-2022 12:32:15:62
Cell Birth : 27-Apr-2022 12:32:15:62
Cell Death : 27-Apr-2022 12:32:15:62
Cell Death : 27-Apr-2022 12:32:15:62
Cell Birth : 27-Apr-2022 12:32:15:62
Cell Birth : 27-Apr-2022 12:32:15:62
Cell Death : 27-Apr-2022 12:32:15:63
Cell Death : 27-Apr-2022 12:32:15:63
Cell Death : 27-Apr-2022 12:32:15:63
Cell Death : 27-Apr-2022 12:32:15:63
Cell Death : 27-Apr-2022 12:32:15:63
Cell Death : 27-Apr-2022 12:32:15:64
Cell Death : 27-Apr-2022 12:32:15:64
Cell Death : 27-Apr-2022 12:32:15:64
Cell Death : 27-Apr-2022 12:32:15:64
Cell Death : 27-Apr-2022 12:32:15:65
Cell Death : 27-Apr-2022 12:32:15:65
Cell Death : 27-Apr-2022 12:32:15:65
Cell Birth : 27-Apr-2022 12:32:15:65
Cell Birth : 27-Apr-2022 12:32:15:65
Cell Birth : 27-Apr-2022 12:32:15:65
Cell Death : 27-Apr-2022 12:32:15:65
Cell Death : 27-Apr-2022 12:32:15:65
Cell Death : 27-Apr-2022 12:32:15:65
Cell Death : 27-Apr-2022 12:32:15:65
Cell Birth : 27-Apr-2022 12:32:15:66
Cell Death : 27-Apr-2022 12:32:15:66
Cell Birth : 27-Apr-2022 12:32:15:66
Cell Death : 27-Apr-2022 12:32:15:66
Cell Birth : 27-Apr-2022 12:32:15:66
Cell Death : 27-Apr-2022 12:32:15:67
Cell Death : 27-Apr-2022 12:32:15:67
Cell Death : 27-Apr-2022 12:32:15:67
Cell Death : 27-Apr-2022 12:32:15:67
Cell Death : 27-Apr-2022 12:32:15:67
Cell Birth : 27-Apr-2022 12:32:15:68
Cell Death : 27-Apr-2022 12:32:15:68
Cell Death : 27-Apr-2022 12:32:15:68
Cell Birth : 27-Apr-2022 12:32:15:68
Cell Death : 27-Apr-2022 12:32:15:68
Cell Death : 27-Apr-2022 12:32:15:68
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Birth : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:69
Cell Death : 27-Apr-2022 12:32:15:70
Cell Death : 27-Apr-2022 12:32:15:70
Cell Birth : 27-Apr-2022 12:32:15:70
Cell Birth : 27-Apr-2022 12:32:15:70
Cell Death : 27-Apr-2022 12:32:15:70
Cell Death : 27-Apr-2022 12:32:15:71
Cell Death : 27-Apr-2022 12:32:15:71
Cell Death : 27-Apr-2022 12:32:15:71
Cell Death : 27-Apr-2022 12:32:15:71
Cell Death : 27-Apr-2022 12:32:15:72
Cell Birth : 27-Apr-2022 12:32:15:72
Cell Birth : 27-Apr-2022 12:32:15:72
Cell Death : 27-Apr-2022 12:32:15:72
Cell Death : 27-Apr-2022 12:32:15:72
Cell Death : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:73
Cell Birth : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:73
Cell Birth : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:73
Cell Death : 27-Apr-2022 12:32:15:74
Cell Death : 27-Apr-2022 12:32:15:74
Cell Death : 27-Apr-2022 12:32:15:74
Cell Death : 27-Apr-2022 12:32:15:74
Cell Birth : 27-Apr-2022 12:32:15:74
Cell Death : 27-Apr-2022 12:32:15:74
Cell Death : 27-Apr-2022 12:32:15:75
Cell Birth : 27-Apr-2022 12:32:15:75
Cell Death : 27-Apr-2022 12:32:15:75
Cell Death : 27-Apr-2022 12:32:15:75
Cell Birth : 27-Apr-2022 12:32:15:75
Cell Death : 27-Apr-2022 12:32:15:76
Cell Death : 27-Apr-2022 12:32:15:76
Cell Death : 27-Apr-2022 12:32:15:76
Cell Death : 27-Apr-2022 12:32:15:76
Cell Death : 27-Apr-2022 12:32:15:76
Cell Death : 27-Apr-2022 12:32:15:77
Cell Birth : 27-Apr-2022 12:32:15:77
Cell Death : 27-Apr-2022 12:32:15:77
Cell Birth : 27-Apr-2022 12:32:15:77
Cell Birth : 27-Apr-2022 12:32:15:77
Cell Death : 27-Apr-2022 12:32:15:77
Cell Birth : 27-Apr-2022 12:32:15:77
Cell Death : 27-Apr-2022 12:32:15:77
Cell Death : 27-Apr-2022 12:32:15:77
Cell Birth : 27-Apr-2022 12:32:15:77
Cell Death : 27-Apr-2022 12:32:15:78
Cell Birth : 27-Apr-2022 12:32:15:78
Cell Death : 27-Apr-2022 12:32:15:78
Cell Birth : 27-Apr-2022 12:32:15:79
Cell Birth : 27-Apr-2022 12:32:15:79
Cell Death : 27-Apr-2022 12:32:15:79
Cell Death : 27-Apr-2022 12:32:15:79
Cell Birth : 27-Apr-2022 12:32:15:79
Cell Birth : 27-Apr-2022 12:32:15:80
Cell Death : 27-Apr-2022 12:32:15:80
Cell Death : 27-Apr-2022 12:32:15:80
Cell Death : 27-Apr-2022 12:32:15:80
Cell Death : 27-Apr-2022 12:32:15:81
Cell Death : 27-Apr-2022 12:32:15:81
Cell Death : 27-Apr-2022 12:32:15:81
Cell Death : 27-Apr-2022 12:32:15:81
Cell Death : 27-Apr-2022 12:32:15:81
Cell Death : 27-Apr-2022 12:32:15:81
Cell Birth : 27-Apr-2022 12:32:15:81
Cell Death : 27-Apr-2022 12:32:15:81
Cell Death : 27-Apr-2022 12:32:15:81
Cell Birth : 27-Apr-2022 12:32:15:82
Cell Death : 27-Apr-2022 12:32:15:82
Cell Birth : 27-Apr-2022 12:32:15:82
Cell Death : 27-Apr-2022 12:32:15:83
Cell Death : 27-Apr-2022 12:32:15:83
Cell Death : 27-Apr-2022 12:32:15:83
Cell Death : 27-Apr-2022 12:32:15:83
Cell Death : 27-Apr-2022 12:32:15:83
Cell Death : 27-Apr-2022 12:32:15:84
Cell Death : 27-Apr-2022 12:32:15:84
Cell Death : 27-Apr-2022 12:32:15:84
Cell Birth : 27-Apr-2022 12:32:15:84
Cell Death : 27-Apr-2022 12:32:15:84
Cell Birth : 27-Apr-2022 12:32:15:85
Cell Death : 27-Apr-2022 12:32:15:85
Cell Death : 27-Apr-2022 12:32:15:85
Cell Death : 27-Apr-2022 12:32:15:85
Cell Death : 27-Apr-2022 12:32:15:85
Cell Death : 27-Apr-2022 12:32:15:85
Cell Birth : 27-Apr-2022 12:32:15:85
